"","pathways","z-score","Z_p-value"
"1","BIOCARTA_ACH_PATHWAY",2.72601031323519,0.00349914086100295
"2","BIOCARTA_AGR_PATHWAY",0.622971611093909,0.276823583979047
"3","BIOCARTA_AKT_PATHWAY",27.8313340002983,1.6363088673863e-170
"4","BIOCARTA_AMI_PATHWAY",6.66138076545116,1.70548946421273e-11
"5","BIOCARTA_ASBCELL_PATHWAY",28.1992854250403,0
"6","BIOCARTA_BCR_PATHWAY",17.11205319629,0
"7","BIOCARTA_BIOPEPTIDES_PATHWAY",28.9971671656116,6.60608466352378e-185
"8","BIOCARTA_CASPASE_PATHWAY",16.7117748155153,0
"9","BIOCARTA_CERAMIDE_PATHWAY",23.4588244578999,9.17784341048653e-122
"10","BIOCARTA_CHREBP2_PATHWAY",11.6821712895215,0
"11","BIOCARTA_CSK_PATHWAY",42.4002621755286,0
"12","BIOCARTA_CTCF_PATHWAY",14.5424158765369,0
"13","BIOCARTA_CTL_PATHWAY",31.7059083197441,0
"14","BIOCARTA_CTLA4_PATHWAY",37.1956229872363,0
"15","BIOCARTA_DEATH_PATHWAY",14.4637744857178,0
"16","BIOCARTA_EGF_PATHWAY",0.12936300864611,0.450902148667714
"17","BIOCARTA_EIF4_PATHWAY",15.4854569818495,3.30119685479353e-54
"18","BIOCARTA_EXTRINSIC_PATHWAY",4.58834515500768,2.57910166172906e-06
"19","BIOCARTA_FAS_PATHWAY",5.57001555016047,1.53071017407099e-08
"20","BIOCARTA_FCER1_PATHWAY",3.42850165380012,0.000336101164472609
"21","BIOCARTA_FIBRINOLYSIS_PATHWAY",3.4402960054967,0.000322727156325538
"22","BIOCARTA_GH_PATHWAY",14.6960244013514,0
"23","BIOCARTA_GLEEVEC_PATHWAY",5.15869347821299,1.47122229855323e-07
"24","BIOCARTA_GSK3_PATHWAY",24.9826965140789,8.12624641157453e-138
"25","BIOCARTA_HDAC_PATHWAY",23.5762883956426,0
"26","BIOCARTA_HIVNEF_PATHWAY",2.99058208550128,0.00152425334492488
"27","BIOCARTA_IGF1_PATHWAY",9.35997601496257,0
"28","BIOCARTA_IGF1MTOR_PATHWAY",24.9826965140789,8.12624641157453e-138
"29","BIOCARTA_IL12_PATHWAY",20.3394778949586,0
"30","BIOCARTA_IL17_PATHWAY",39.8467361194561,0
"31","BIOCARTA_IL7_PATHWAY",9.54970208518709,0
"32","BIOCARTA_INSULIN_PATHWAY",9.35997601496257,0
"33","BIOCARTA_INTRINSIC_PATHWAY",6.66138076545116,1.70548946421273e-11
"34","BIOCARTA_KERATINOCYTE_PATHWAY",41.7646711362159,0
"35","BIOCARTA_MET_PATHWAY",5.52084649170586,2.0210397941323e-08
"36","BIOCARTA_MITOCHONDRIA_PATHWAY",6.89721895724928,3.36743134838075e-12
"37","BIOCARTA_MTOR_PATHWAY",24.9826965140789,8.12624641157453e-138
"38","BIOCARTA_NDKDYNAMIN_PATHWAY",3.02797344386415,0.00135161518736116
"39","BIOCARTA_NFAT_PATHWAY",22.2626797110258,0
"40","BIOCARTA_NKCELLS_PATHWAY",19.8315620483614,1.29461685000225e-87
"41","BIOCARTA_NKT_PATHWAY",28.1992854250403,0
"42","BIOCARTA_NO2IL12_PATHWAY",35.8135221641426,0
"43","BIOCARTA_NUCLEARRS_PATHWAY",21.8443526307684,0
"44","BIOCARTA_PAR1_PATHWAY",22.1486366212515,9.02347699336877e-109
"45","BIOCARTA_PDGF_PATHWAY",0.12936300864611,0.450902148667714
"46","BIOCARTA_PPARA_PATHWAY",34.5351823274619,0
"47","BIOCARTA_STATHMIN_PATHWAY",31.7059083197441,0
"48","BIOCARTA_STRESS_PATHWAY",33.5006467648889,4.53763546324599e-246
"49","BIOCARTA_TCAPOPTOSIS_PATHWAY",39.3747014131864,0
"50","BIOCARTA_TCR_PATHWAY",22.1262928506248,0
"51","BIOCARTA_TCRA_PATHWAY",35.8135221641426,0
"52","BIOCARTA_TCYTOTOXIC_PATHWAY",35.666854367637,0
"53","BIOCARTA_TEL_PATHWAY",7.13884761593292,6.03729187854573e-13
"54","BIOCARTA_TFF_PATHWAY",10.4039073096466,0
"55","BIOCARTA_THELPER_PATHWAY",39.3747014131864,0
"56","BIOCARTA_TNFR1_PATHWAY",13.3282872316866,1.14368373892762e-40
"57","BIOCARTA_TOB1_PATHWAY",35.666854367637,0
"58","ccRCC",0.415547194660085,0.344292617853187
"59","KEGG_ABC_TRANSPORTERS",9.0524649825389,0
"60","KEGG_ACUTE_MYELOID_LEUKEMIA",17.2173166048521,0
"61","KEGG_ADHERENS_JUNCTION",20.3227009156517,0
"62","KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",41.6856824307656,0
"63","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",7.70281353502314,8.7516201182521e-15
"64","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",14.0611058247184,4.80623098686435e-45
"65","KEGG_ALZHEIMERS_DISEASE",6.5081905680764,4.7507189439186e-11
"66","KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",46.273350765509,0
"67","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",29.6871721518383,1.04480695404052e-193
"68","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",4.19899246168847,1.52006098568039e-05
"69","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",9.02322154935929,0
"70","KEGG_APOPTOSIS",23.7902902689878,0
"71","KEGG_ARACHIDONIC_ACID_METABOLISM",26.5033659657175,0
"72","KEGG_ARGININE_AND_PROLINE_METABOLISM",10.8852898543705,9.31641141562454e-28
"73","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",26.7477418486636,1.156909346471e-157
"74","KEGG_AUTOIMMUNE_THYROID_DISEASE",36.0172471184587,0
"75","KEGG_AXON_GUIDANCE",8.55435364571705,0
"76","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",41.9561608076769,0
"77","KEGG_BETA_ALANINE_METABOLISM",6.01180993949962,1.12378671321788e-09
"78","KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",1.87200288132964,0.032937237375475
"79","KEGG_BUTANOATE_METABOLISM",22.3349741949546,1.42475728055829e-110
"80","KEGG_CALCIUM_SIGNALING_PATHWAY",2.62720758862181,0.00468569024670862
"81","KEGG_CARDIAC_MUSCLE_CONTRACTION",37.8019231372568,0
"82","KEGG_CELL_ADHESION_MOLECULES_CAMS",21.2426425827193,3.19358579096189e-100
"83","KEGG_CELL_CYCLE",35.0287013950326,0
"84","KEGG_CHEMOKINE_SIGNALING_PATHWAY",39.7811055790581,0
"85","KEGG_CHRONIC_MYELOID_LEUKEMIA",35.6808616867683,0
"86","KEGG_CITRATE_CYCLE_TCA_CYCLE",1.32148503527468,0.0988794171540044
"87","KEGG_COLORECTAL_CANCER",30.5366405314425,0
"88","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",2.56173389896498,0.00563658564335417
"89","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",58.9779978178222,0
"90","KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",46.9081471989614,0
"91","KEGG_DILATED_CARDIOMYOPATHY",14.6395541884792,1.15102220347993e-48
"92","KEGG_DRUG_METABOLISM_CYTOCHROME_P450",60.1106480028356,0
"93","KEGG_DRUG_METABOLISM_OTHER_ENZYMES",20.9526887858663,1.46240376195207e-97
"94","KEGG_ECM_RECEPTOR_INTERACTION",15.066977729002,1.97184387644265e-51
"95","KEGG_ENDOCYTOSIS",4.85322293660391,7.03350355145358e-07
"96","KEGG_ENDOMETRIAL_CANCER",12.9741551002064,0
"97","KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",54.8731951455421,0
"98","KEGG_ERBB_SIGNALING_PATHWAY",17.2248471454778,0
"99","KEGG_FATTY_ACID_METABOLISM",45.6315038040581,0
"100","KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",21.8216202049913,0
"101","KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",7.79220109194729,4.3909512704033e-15
"102","KEGG_FOCAL_ADHESION",11.133906793544,0
"103","KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",39.4565107985027,0
"104","KEGG_GALACTOSE_METABOLISM",50.8964866048184,0
"105","KEGG_GAP_JUNCTION",14.5182402892634,0
"106","KEGG_GLIOMA",37.1903097099426,0
"107","KEGG_GLUTATHIONE_METABOLISM",2.61675129694166,0.00481791293815459
"108","KEGG_GLYCEROLIPID_METABOLISM",4.32428109573926,8.75442300003911e-06
"109","KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",10.7296348336221,5.06315945187594e-27
"110","KEGG_GLYCOLYSIS_GLUCONEOGENESIS",56.220861869302,0
"111","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",13.3513743477219,8.4228190899898e-41
"112","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",11.2729402812485,1.24562855558036e-29
"113","KEGG_GNRH_SIGNALING_PATHWAY",3.96569004975275,4.10045159289828e-05
"114","KEGG_HEDGEHOG_SIGNALING_PATHWAY",12.401821586922,0
"115","KEGG_HEMATOPOIETIC_CELL_LINEAGE",62.8056725702714,0
"116","KEGG_HUNTINGTONS_DISEASE",7.16062561846587,5.16858031987062e-13
"117","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",22.3729422730496,6.11406933567286e-111
"118","KEGG_INOSITOL_PHOSPHATE_METABOLISM",12.5182075822981,4.23527451360234e-36
"119","KEGG_INSULIN_SIGNALING_PATHWAY",3.3289578614635,0.000481338791527768
"120","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",31.8592021266348,0
"121","KEGG_JAK_STAT_SIGNALING_PATHWAY",61.945372032754,0
"122","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",46.7011246913683,0
"123","KEGG_LINOLEIC_ACID_METABOLISM",26.7019928362975,3.9175894380864e-157
"124","KEGG_LONG_TERM_DEPRESSION",16.7751419572609,2.8844923990379e-63
"125","KEGG_LONG_TERM_POTENTIATION",36.3882827744531,0
"126","KEGG_LYSINE_DEGRADATION",3.2110529156144,0.000728137138010193
"127","KEGG_LYSOSOME",51.008668277308,0
"128","KEGG_MAPK_SIGNALING_PATHWAY",11.1475579955702,0
"129","KEGG_MELANOGENESIS",32.761486930471,0
"130","KEGG_MELANOMA",47.1937448345664,0
"131","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",56.1686949504954,0
"132","KEGG_MTOR_SIGNALING_PATHWAY",3.77508530851197,8.93578596916379e-05
"133","KEGG_N_GLYCAN_BIOSYNTHESIS",4.09031893258576,2.42075715451735e-05
"134","KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",36.0808036365121,0
"135","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",36.313994941015,9.55457579742908e-289
"136","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",23.8626373481567,0
"137","KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",7.28446783700159,2.09253563130543e-13
"138","KEGG_NON_SMALL_CELL_LUNG_CANCER",6.39954965219939,9.70154174860162e-11
"139","KEGG_NOTCH_SIGNALING_PATHWAY",27.640081024872,0
"140","KEGG_NUCLEOTIDE_EXCISION_REPAIR",6.01835343020911,1.08277835930168e-09
"141","KEGG_O_GLYCAN_BIOSYNTHESIS",10.0703126943383,5.03109031862063e-24
"142","KEGG_OLFACTORY_TRANSDUCTION",8.37192946414413,3.77552161577087e-17
"143","KEGG_OOCYTE_MEIOSIS",16.736683527234,0
"144","KEGG_OXIDATIVE_PHOSPHORYLATION",56.360213339827,0
"145","KEGG_PANCREATIC_CANCER",24.8543861883688,0
"146","KEGG_PARKINSONS_DISEASE",0.104100703213671,0.459751413026091
"147","KEGG_PATHWAYS_IN_CANCER",62.616184593316,0
"148","KEGG_PEROXISOME",5.73597481219806,5.86335232958627e-09
"149","KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",14.9086638265189,0
"150","KEGG_PPAR_SIGNALING_PATHWAY",7.16476338454838,5.0318489713569e-13
"151","KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",11.3778066024637,0
"152","KEGG_PRIMARY_IMMUNODEFICIENCY",55.0684474923244,0
"153","KEGG_PRION_DISEASES",41.273753616929,0
"154","KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",30.2627691317435,0
"155","KEGG_PROSTATE_CANCER",32.9662889572749,0
"156","KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",41.7169070984478,0
"157","KEGG_PURINE_METABOLISM",5.13269480154545,1.68455586257952e-07
"158","KEGG_PYRIMIDINE_METABOLISM",27.8224956474576,2.08334707037156e-170
"159","KEGG_PYRUVATE_METABOLISM",28.0058618306421,1.26253997066207e-172
"160","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",24.731332768612,0
"161","KEGG_REGULATION_OF_AUTOPHAGY",33.6298969168387,0
"162","KEGG_RENAL_CELL_CARCINOMA",38.3663753617047,0
"163","KEGG_RETINOL_METABOLISM",63.3553979897597,0
"164","KEGG_RIBOSOME",0.485174806951572,0.319648991703504
"165","KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",32.3232518564779,0
"166","KEGG_RNA_DEGRADATION",15.8842617392788,0
"167","KEGG_SMALL_CELL_LUNG_CANCER",52.6570908072664,0
"168","KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",15.209517991035,2.28440333673857e-52
"169","KEGG_SPLICEOSOME",30.949566921123,0
"170","KEGG_STARCH_AND_SUCROSE_METABOLISM",49.7139384394228,0
"171","KEGG_STEROID_HORMONE_BIOSYNTHESIS",17.944553049011,4.2016956027389e-72
"172","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",53.2266866682961,0
"173","KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",39.1664441252266,0
"174","KEGG_TASTE_TRANSDUCTION",13.3404045440052,0
"175","KEGG_TGF_BETA_SIGNALING_PATHWAY",8.89312059413491,0
"176","KEGG_TIGHT_JUNCTION",35.2533178975767,2.98151782935209e-272
"177","KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",45.8331838914378,0
"178","KEGG_TRYPTOPHAN_METABOLISM",22.6956425677733,4.2068518722777e-114
"179","KEGG_TYPE_II_DIABETES_MELLITUS",7.06695351769026,1.01234904128515e-12
"180","KEGG_TYROSINE_METABOLISM",20.5766511402725,3.6485546010731e-94
"181","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",1.08168261631942,0.147028942015746
"182","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS",15.7134869957719,9.39174717663387e-56
"183","KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",24.1505359194061,0
"184","KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",23.9273377959875,0
"185","KEGG_VEGF_SIGNALING_PATHWAY",39.8832041055765,0
"186","KEGG_VIBRIO_CHOLERAE_INFECTION",46.2590321414705,0
"187","KEGG_VIRAL_MYOCARDITIS",15.9648304540435,0
"188","KEGG_WNT_SIGNALING_PATHWAY",16.0195526763347,0
"189","REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE",1.06077280978635,0.150314473565741
"190","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",26.0674371369374,0
"191","REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",13.3890360372518,0
"192","REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",26.0674371369374,0
"193","REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS",10.4210601212206,0
"194","REACTOME_AMINE_LIGAND_BINDING_RECEPTORS",38.6109139232404,0
"195","REACTOME_APOPTOSIS",10.9030905266041,7.68955355289714e-28
"196","REACTOME_APOPTOTIC_EXECUTION_PHASE",5.2816437401304,7.59804063127118e-08
"197","REACTOME_AXON_GUIDANCE",17.8121059616376,4.48123898522169e-71
"198","REACTOME_BIOLOGICAL_OXIDATIONS",41.3793603269351,0
"199","REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS",7.62815339978716,1.55361948178153e-14
"200","REACTOME_CD28_CO_STIMULATION",31.2074770634734,7.99464238477861e-214
"201","REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING",1.14733047888967,0.132582227921549
"202","REACTOME_CDC20_PHOSPHO_APC_MEDIATED_DEGRADATION_OF_CYCLIN_A",10.5273626523705,4.38079567600003e-26
"203","REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX",15.4318887925197,7.49273373917434e-54
"204","REACTOME_CELL_CELL_ADHESION_SYSTEMS",42.7920669007377,0
"205","REACTOME_CELL_CYCLE_CHECKPOINTS",18.1556859594073,0
"206","REACTOME_CELL_CYCLE_MITOTIC",6.51871232280897,4.44375757892148e-11
"207","REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE",15.5108991079911,0
"208","REACTOME_CELL_JUNCTION_ORGANIZATION",46.607973447839,0
"209","REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL",13.5030409838018,1.09102876366455e-41
"210","REACTOME_CENTROSOME_MATURATION",10.9671616831681,3.80798901671847e-28
"211","REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES",48.8861976983657,0
"212","REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT",22.7317727427523,0
"213","REACTOME_CITRIC_ACID_CYCLE",5.81908216674062,3.60134121991392e-09
"214","REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS",16.2630876619389,0
"215","REACTOME_CLASS_B2_SECRETIN_FAMILY_RECEPTORS",7.62815339978716,1.55361948178153e-14
"216","REACTOME_CLATHRIN_DERIVED_VESICLE_BUDDING",50.1055427790958,0
"217","REACTOME_COLLAGEN_MEDIATED_ACTIVATION_CASCADE",12.4100154384307,1.63921211266505e-35
"218","REACTOME_COMMON_PATHWAY",1.42562531506578,0.0819344357643109
"219","REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY",4.14716496549847,1.90283796218545e-05
"220","REACTOME_CTLA4_INHIBITORY_SIGNALING",25.5272166453859,8.59302122598627e-144
"221","REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_",30.92578526135,5.04700098106897e-210
"222","REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE",10.2252581866694,1.03234908872634e-24
"223","REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION",17.9222785907229,6.24650263768013e-72
"224","REACTOME_DARPP32_EVENTS",21.9535299028364,0
"225","REACTOME_DEPOLARIZATION_OF_THE_PRESYNAPTIC_TERMINAL_TRIGGERS_THE_OPENING_OF_CALCIUM_CHANNELS",4.27994233995759,1.06623956156534e-05
