"","pathways","z-score","Z_p-value","X2-score","X2_p-value"
"1","BIOCARTA_ACH_PATHWAY",2.72601031318264,0.00349914086156,246.999327202248,0
"2","BIOCARTA_AGR_PATHWAY",0.622971611271421,0.276823583918496,115.10145681107,0
"3","BIOCARTA_AKT_PATHWAY",27.8313340004837,1.63630885893372e-170,172.991007552411,0
"4","BIOCARTA_AMI_PATHWAY",6.6613807654406,1.70548946433522e-11,320.855525323175,0
"5","BIOCARTA_BCR_PATHWAY",17.1120531966347,0,179.582623939812,0
"6","BIOCARTA_BIOPEPTIDES_PATHWAY",28.9971671658374,6.60608462021807e-185,167.502907765945,0
"7","BIOCARTA_CASPASE_PATHWAY",16.7117748158509,0,123.383057651705,0
"8","BIOCARTA_CERAMIDE_PATHWAY",23.4588244576257,9.17784346961647e-122,222.369516916345,0
"9","BIOCARTA_CHREBP2_PATHWAY",11.6821712895699,0,480.547843894955,0
"10","BIOCARTA_CSK_PATHWAY",42.400262175518,0,5.21023418928678,1.00080110412515e-07
"11","BIOCARTA_CTCF_PATHWAY",14.5424158768596,0,310.204292643671,0
"12","BIOCARTA_CTL_PATHWAY",31.7059083197053,0,4.87632592907024,5.70338928313222e-07
"13","BIOCARTA_CTLA4_PATHWAY",37.195622987384,0,6.11655694637596,5.10234427071377e-10
"14","BIOCARTA_DEATH_PATHWAY",14.463774486195,0,107.901653877862,0
"15","BIOCARTA_EGF_PATHWAY",0.129363008473834,0.450902148736229,198.558714332497,0
"16","BIOCARTA_EIF4_PATHWAY",15.4854569819938,3.30119684738638e-54,185.480629116125,0
"17","BIOCARTA_EXTRINSIC_PATHWAY",4.588345154915,2.57910166288269e-06,374.260243603288,0
"18","BIOCARTA_FAS_PATHWAY",5.57001555011359,1.53071017407099e-08,137.278880641617,0
"19","BIOCARTA_FCER1_PATHWAY",3.42850165405272,0.00033610116415979,139.285147062775,0
"20","BIOCARTA_FIBRINOLYSIS_PATHWAY",3.44029600568368,0.000322727156102557,271.260929926888,0
"21","BIOCARTA_GH_PATHWAY",14.6960244015257,0,91.5916378099253,0
"22","BIOCARTA_GLEEVEC_PATHWAY",5.15869347821332,1.47122229855323e-07,110.673883192744,0
