"","pathways","z-score","Z_p-value"
"1","BIOCARTA_AGR_PATHWAY",0.622971611271421,0.284519994137839
"2","BIOCARTA_BCR_PATHWAY",17.1120531966347,0
"3","BIOCARTA_CSK_PATHWAY",42.400262175518,0
"4","BIOCARTA_CTLA4_PATHWAY",37.195622987384,0
"5","BIOCARTA_EGF_PATHWAY",0.129363008473834,0.452911161574846
"6","BIOCARTA_FCER1_PATHWAY",3.42850165405272,0.000348980631342816
"7","BIOCARTA_HIVNEF_PATHWAY",2.99058208564835,0.00157481912571375
"8","BIOCARTA_IL17_PATHWAY",39.8467361193507,0
"9","BIOCARTA_NFAT_PATHWAY",22.2626797112501,0
"10","BIOCARTA_PDGF_PATHWAY",0.129363008473834,0.452911161574846
"11","BIOCARTA_TCAPOPTOSIS_PATHWAY",39.374701413261,0
"12","BIOCARTA_TCR_PATHWAY",22.1262928508008,0
"13","BIOCARTA_THELPER_PATHWAY",39.374701413261,0
"14","BIOCARTA_TNFR1_PATHWAY",13.3282872317416,1.17172907609393e-40
"15","KEGG_ABC_TRANSPORTERS",9.05246498283626,0
"16","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",14.0611058244628,4.97473499368351e-45
"17","KEGG_ALZHEIMERS_DISEASE",6.50819056855485,4.82966427586914e-11
"18","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",29.6871721520221,1.0207759555324e-193
"19","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",4.19899246254951,1.59476394959034e-05
"20","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",9.02322154933577,0
"21","KEGG_APOPTOSIS",23.790290270031,0
"22","KEGG_ARACHIDONIC_ACID_METABOLISM",26.5033659664255,0
"23","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",26.7477418487859,1.13140268000901e-157
"24","KEGG_AUTOIMMUNE_THYROID_DISEASE",36.0172471185734,0
"25","KEGG_AXON_GUIDANCE",8.55435364604684,0
"26","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",41.9561608085048,0
"27","KEGG_CALCIUM_SIGNALING_PATHWAY",2.62720758851435,0.00484249484310822
"28","KEGG_CARDIAC_MUSCLE_CONTRACTION",37.8019231376066,0
"29","KEGG_CELL_ADHESION_MOLECULES_CAMS",21.2426425823365,3.21832657579472e-100
"30","KEGG_CELL_CYCLE",35.0287013958233,0
"31","KEGG_CHEMOKINE_SIGNALING_PATHWAY",39.781105579684,0
"32","KEGG_CITRATE_CYCLE_TCA_CYCLE",1.32148503560273,0.100448738553355
"33","KEGG_COLORECTAL_CANCER",30.5366405318396,0
"34","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",2.56173389916827,0.00579550385342731
"35","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",58.977997818347,0
"36","KEGG_DILATED_CARDIOMYOPATHY",14.6395541884791,1.19553834706174e-48
"37","KEGG_DRUG_METABOLISM_CYTOCHROME_P450",60.1106480034961,0
"38","KEGG_ECM_RECEPTOR_INTERACTION",15.0669777290896,2.04740534510959e-51
"39","KEGG_ENDOCYTOSIS",4.85322293666717,7.39544067024502e-07
"40","KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",54.8731951459252,0
"41","KEGG_FATTY_ACID_METABOLISM",45.6315038043797,0
"42","KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",21.8216202052073,0
"43","KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",7.7922010921047,4.44805482769176e-15
"44","KEGG_FOCAL_ADHESION",11.1339067933141,0
"45","KEGG_GAP_JUNCTION",14.5182402890011,0
"46","KEGG_GLUTATHIONE_METABOLISM",2.61675129670739,0.00496637725172352
"47","KEGG_GLYCOLYSIS_GLUCONEOGENESIS",56.220861869902,0
"48","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",13.3513743477651,8.65852251387882e-41
"49","KEGG_HEMATOPOIETIC_CELL_LINEAGE",62.8056725706908,0
"50","KEGG_HUNTINGTONS_DISEASE",7.16062561859905,5.26079359864819e-13
"51","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",22.372942273042,6.17693280748586e-111
"52","KEGG_INSULIN_SIGNALING_PATHWAY",3.32895786152619,0.000498467391557768
"53","KEGG_JAK_STAT_SIGNALING_PATHWAY",61.9453720332299,0
"54","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",46.70112469079,0
"55","KEGG_LONG_TERM_POTENTIATION",36.3882827750188,0
"56","KEGG_LYSINE_DEGRADATION",3.21105291592259,0.000752078654244653
"57","KEGG_LYSOSOME",51.0086682773224,0
"58","KEGG_MAPK_SIGNALING_PATHWAY",11.1475579959947,0
"59","KEGG_MELANOMA",47.193744834634,0
"60","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",56.1686949512631,0
"61","KEGG_MTOR_SIGNALING_PATHWAY",3.77508530914434,9.30063290875054e-05
"62","KEGG_N_GLYCAN_BIOSYNTHESIS",4.09031893298295,2.51897017235387e-05
"63","KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",36.0808036370751,0
"64","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",36.3139949412486,9.15515751884242e-289
"65","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",23.8626373481816,0
"66","KEGG_OLFACTORY_TRANSDUCTION",8.37192946397814,3.8343957424011e-17
"67","KEGG_OOCYTE_MEIOSIS",16.7366835281031,0
"68","KEGG_OXIDATIVE_PHOSPHORYLATION",56.3602133401545,0
"69","KEGG_PARKINSONS_DISEASE",0.104100703499545,0.460770661515256
"70","KEGG_PATHWAYS_IN_CANCER",62.616184593734,0
"71","KEGG_PEROXISOME",5.73597481251737,6.11868460166879e-09
"72","KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",14.9086638267578,0
"73","KEGG_PPAR_SIGNALING_PATHWAY",7.1647633843182,5.1368316356917e-13
"74","KEGG_PRIMARY_IMMUNODEFICIENCY",55.0684474924301,0
"75","KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",30.2627691320429,0
"76","KEGG_PROSTATE_CANCER",32.9662889572544,0
"77","KEGG_PURINE_METABOLISM",5.13269480122575,1.75964082176152e-07
"78","KEGG_PYRIMIDINE_METABOLISM",27.8224956476498,2.06863974899292e-170
"79","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",24.7313327686365,0
"80","KEGG_RENAL_CELL_CARCINOMA",38.3663753616904,0
"81","KEGG_RETINOL_METABOLISM",63.3553979905356,0
"82","KEGG_RIBOSOME",0.485174807147581,0.323142628513855
"83","KEGG_SMALL_CELL_LUNG_CANCER",52.6570908083305,0
"84","KEGG_SPLICEOSOME",30.9495669218244,0
"85","KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",53.2266866689517,0
"86","KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",39.1664441258577,0
"87","KEGG_TASTE_TRANSDUCTION",13.3404045444679,0
"88","KEGG_TGF_BETA_SIGNALING_PATHWAY",8.89312059428637,0
"89","KEGG_TIGHT_JUNCTION",35.253317896862,2.84573479502918e-272
"90","KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",45.8331838917266,0
"91","KEGG_TYPE_II_DIABETES_MELLITUS",7.06695351800716,1.03084836264573e-12
"92","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",1.0816826163374,0.149830235957909
"93","KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",23.9273377959487,0
"94","KEGG_VEGF_SIGNALING_PATHWAY",39.8832041063581,0
"95","KEGG_VIBRIO_CHOLERAE_INFECTION",46.2590321418755,0
"96","KEGG_VIRAL_MYOCARDITIS",15.9648304541507,0
"97","KEGG_WNT_SIGNALING_PATHWAY",16.0195526766035,0
"98","KRCC",0.415547196071548,0.347258574622771
"99","REACTOME_AMINE_LIGAND_BINDING_RECEPTORS",38.6109139236206,0
"100","REACTOME_APOPTOSIS",10.9030905262217,7.68713167858168e-28
"101","REACTOME_AXON_GUIDANCE",17.8121059619255,4.60308367312954e-71
"102","REACTOME_BIOLOGICAL_OXIDATIONS",41.3793603274206,0
